date,iso_code,new_cases_smoothed,new_deaths_smoothed,population,num_vacunes
2020/03/08,FRA,142.143,2.429,67564251,
2020/03/08,GRC,9.429,0,10423056,
2020/03/08,HRV,0.714,0,4105268,
2020/03/08,HUN,,,9660350,
2020/03/08,IRL,2.571,0,4937796,
2020/03/08,ISL,6.714,0,341250,
2020/03/08,ITA,811.571,47.429,60461828,
2020/03/08,LIE,,,38137,
2020/03/08,LTU,0,0,2722291,
2020/03/08,LUX,0.286,0,625976,
2020/03/08,LVA,0.286,0,1886202,
2020/03/08,MLT,,,441539,
2020/03/08,NLD,36.429,0.429,17134873,
2020/03/08,NOR,22.429,0,5421242,
2020/03/08,POL,,,37846605,
2020/03/08,PRT,4.286,0,10196707,
2020/03/08,ROU,1.714,0,19237682,
2020/03/08,SVK,,,5459643,
2020/03/08,SVN,,,2078932,
2020/03/08,SWE,30.143,0,10099270,
2020/03/09,AUT,16.143,0,9006400,
2020/03/09,BEL,33,0,11589616,
2020/03/09,BGR,,,6948445,
2020/03/09,CYP,,,875899,
2020/03/09,CZE,4,0,10708982,
2020/03/09,DEU,145.286,0.286,83783945,
2020/03/09,DNK,12.571,0,5792203,
2020/03/09,ESP,136.143,4,46754783,
2020/03/09,EST,1.286,0,1326539,
2020/03/09,FIN,3.429,0,5540718,
2020/03/09,FRA,174.286,3.143,67564251,
2020/03/09,GRC,9.429,0,10423056,
2020/03/09,HRV,0.714,0,4105268,
2020/03/09,HUN,1.286,0,9660350,
2020/03/09,IRL,2.857,0,4937796,
2020/03/09,ISL,7.429,0,341250,
2020/03/09,ITA,1019.429,58.714,60461828,
2020/03/09,LIE,0.143,0,38137,
2020/03/09,LTU,0,0,2722291,
2020/03/09,LUX,0.286,0,625976,
2020/03/09,LVA,0.714,0,1886202,
2020/03/09,MLT,,,441539,
2020/03/09,NLD,43.286,0.429,17134873,
2020/03/09,NOR,25.714,0,5421242,
2020/03/09,POL,2.286,0,37846605,
2020/03/09,PRT,4,0,10196707,
2020/03/09,ROU,1.714,0,19237682,
2020/03/09,SVK,,,5459643,
2020/03/09,SVN,,,2078932,
2020/03/09,SWE,43.857,0,10099270,
2020/03/10,AUT,23,0,9006400,
2020/03/10,BEL,36.286,0,11589616,
2020/03/10,BGR,,,6948445,
2020/03/10,CYP,,,875899,
2020/03/10,CZE,5.143,0,10708982,
2020/03/10,DEU,180.143,0.286,83783945,
2020/03/10,DNK,36.857,0,5792203,
2020/03/10,ESP,218.571,4.857,46754783,
2020/03/10,EST,1.429,0,1326539,
2020/03/10,FIN,4.857,0,5540718,
2020/03/10,FRA,224.429,4.143,67564251,
2020/03/10,GRC,11.714,0,10423056,
2020/03/10,HRV,0.714,0,4105268,
2020/03/10,HUN,1.286,0,9660350,
2020/03/10,IRL,4.571,0,4937796,
2020/03/10,ISL,8.286,0,341250,
2020/03/10,ITA,1092.429,78.857,60461828,
2020/03/10,LIE,0.143,0,38137,
2020/03/10,LTU,0,0,2722291,
2020/03/10,LUX,0.571,0,625976,
2020/03/10,LVA,1,0,1886202,
2020/03/10,MLT,,,441539,
2020/03/10,NLD,51.143,0.571,17134873,
2020/03/10,NOR,52.571,0,5421242,
2020/03/10,POL,3.143,0,37846605,
2020/03/10,PRT,5.571,0,10196707,
2020/03/10,ROU,3.143,0,19237682,
2020/03/10,SVK,,,5459643,
2020/03/10,SVN,4.429,0,2078932,
